V1,subj,rt,choice,upleftval,uprightval,downleftval,downrightval,roi,fixdur,fixnum,revfixnum,trial
43,101,4200,0,6,8,9,2,1,1219,1,4,1
44,101,4200,0,6,8,9,2,2,1478,2,3,1
45,101,4200,0,6,8,9,2,1,624,3,2,1
46,101,4200,0,6,8,9,2,2,353,4,1,1
203,101,1355,1,9,2,2,6,1,323,1,3,2
204,101,1355,1,9,2,2,6,2,388,2,2,2
205,101,1355,1,9,2,2,6,1,211,3,1,2
292,101,930,1,9,5,3,6,1,679,1,1,3
629,101,6526,1,7,5,4,6,1,700,1,6,4
630,101,6526,1,7,5,4,6,2,1809,2,5,4
631,101,6526,1,7,5,4,6,1,1113,3,4,4
632,101,6526,1,7,5,4,6,3,352,4,3,4
633,101,6526,1,7,5,4,6,2,822,5,2,4
634,101,6526,1,7,5,4,6,1,674,6,1,4
675,101,2779,1,7,6,7,4,1,957,1,3,5
676,101,2779,1,7,6,7,4,2,817,2,2,5
677,101,2779,1,7,6,7,4,1,457,3,1,5
834,101,2139,1,6,6,9,3,1,408,1,3,6
835,101,2139,1,6,6,9,3,2,566,2,2,6
836,101,2139,1,6,6,9,3,1,732,3,1,6
878,101,6924,1,6,5,7,3,1,1977,1,7,7
879,101,6924,1,6,5,7,3,2,786,2,6,7
880,101,6924,1,6,5,7,3,1,1381,3,5,7
881,101,6924,1,6,5,7,3,3,337,4,4,7
882,101,6924,1,6,5,7,3,4,690,5,3,7
883,101,6924,1,6,5,7,3,2,182,6,2,7
884,101,6924,1,6,5,7,3,1,438,7,1,7
1202,101,1214,1,9,5,2,6,1,244,1,3,8
1203,101,1214,1,9,5,2,6,2,419,2,2,8
1204,101,1214,1,9,5,2,6,1,154,3,1,8
1293,101,6062,1,6,9,8,3,1,609,1,7,9
1294,101,6062,1,6,9,8,3,2,1348,2,6,9
1295,101,6062,1,6,9,8,3,1,1269,3,5,9
1296,101,6062,1,6,9,8,3,3,342,4,4,9
1297,101,6062,1,6,9,8,3,4,412,5,3,9
1298,101,6062,1,6,9,8,3,2,776,6,2,9
1299,101,6062,1,6,9,8,3,1,365,7,1,9
1365,101,2600,0,2,7,2,8,1,497,1,4,10
1366,101,2600,0,2,7,2,8,2,771,2,3,10
1367,101,2600,0,2,7,2,8,1,531,3,2,10
1368,101,2600,0,2,7,2,8,2,236,4,1,10
