V1,subj,rt,choice,upleftval,uprightval,downleftval,downrightval,roi,fixdur,fixnum,revfixnum,trial
90,101,2208,0,6,9,8,2,1,838,1,2,1
91,101,2208,0,6,9,8,2,2,924,2,1,1
274,101,2339,1,7,3,2,9,1,472,1,3,2
275,101,2339,1,7,3,2,9,2,974,2,2,2
276,101,2339,1,7,3,2,9,1,328,3,1,2
368,101,4512,0,5,9,7,2,1,488,1,4,3
369,101,4512,0,5,9,7,2,2,858,2,3,3
370,101,4512,0,5,9,7,2,1,2008,3,2,3
371,101,4512,0,5,9,7,2,2,485,4,1,3
425,101,5581,0,9,9,2,8,1,349,1,8,4
426,101,5581,0,9,9,2,8,2,2311,2,7,4
427,101,5581,0,9,9,2,8,3,449,3,6,4
428,101,5581,0,9,9,2,8,4,326,4,5,4
429,101,5581,0,9,9,2,8,2,126,5,4,4
430,101,5581,0,9,9,2,8,1,467,6,3,4
431,101,5581,0,9,9,2,8,2,390,7,2,4
432,101,5581,0,9,9,2,8,4,36,8,1,4
501,101,1644,1,7,6,3,9,1,445,1,3,5
502,101,1644,1,7,6,3,9,2,420,2,2,5
503,101,1644,1,7,6,3,9,1,267,3,1,5
552,101,1342,1,8,5,7,2,1,325,1,3,6
553,101,1342,1,8,5,7,2,2,528,2,2,6
554,101,1342,1,8,5,7,2,1,55,3,1,6
619,101,6172,0,3,9,9,2,1,438,1,8,7
620,101,6172,0,3,9,9,2,2,822,2,7,7
621,101,6172,0,3,9,9,2,1,817,3,6,7
622,101,6172,0,3,9,9,2,2,475,4,5,7
623,101,6172,0,3,9,9,2,4,442,5,4,7
624,101,6172,0,3,9,9,2,3,959,6,3,7
625,101,6172,0,3,9,9,2,4,246,7,2,7
626,101,6172,0,3,9,9,2,2,705,8,1,7
794,101,2015,0,7,6,8,2,1,650,1,2,8
795,101,2015,0,7,6,8,2,2,1012,2,1,8
861,101,7428,0,4,4,7,4,1,432,1,8,9
862,101,7428,0,4,4,7,4,2,2245,2,7,9
863,101,7428,0,4,4,7,4,1,624,3,6,9
864,101,7428,0,4,4,7,4,2,487,4,5,9
865,101,7428,0,4,4,7,4,4,343,5,4,9
866,101,7428,0,4,4,7,4,3,452,6,3,9
867,101,7428,0,4,4,7,4,1,906,7,2,9
868,101,7428,0,4,4,7,4,2,615,8,1,9
931,101,1401,0,6,9,9,4,1,343,1,2,10
932,101,1401,0,6,9,9,4,2,728,2,1,10
1069,101,4323,1,7,7,2,8,1,494,1,4,11
1070,101,4323,1,7,7,2,8,2,2151,2,3,11
