,subj,trial,choice,roi,rt,upleftval,uprightval,downleftval,downrightval,fixdur,fixnum,revfixnum
10,11,6,1,2,1208.9,276,220,42,191,151.5,1,1
11,11,7,1,3,1363,300,280,89,250,229.8,1,2
12,11,7,1,2,1363,300,280,89,250,84.7,2,1
16,11,9,0,2,1629,290,250,56,237,247.91,1,2
17,11,9,0,4,1629,290,250,56,237,574.03,2,1
18,11,10,1,3,1893.9,167,200,143,62,248.9,1,4
19,11,10,1,1,1893.9,167,200,143,62,232.87,2,3
20,11,10,1,4,1893.9,167,200,143,62,423,3,2
21,11,10,1,2,1893.9,167,200,143,62,305.8,4,1
29,11,15,1,2,830.72,229,239,144,32,249.6,1,1
33,11,17,0,3,1616.2,300,260,50,250,228.01,1,4
34,11,17,0,2,1616.2,300,260,50,250,101.05,2,3
35,11,17,0,4,1616.2,300,260,50,250,479,3,2
36,11,17,0,2,1616.2,300,260,50,250,17.7,4,1
37,11,18,0,1,2770.2,200,267,154,30,2,1,4
38,11,18,0,3,2770.2,200,267,154,30,284,2,3
39,11,18,0,4,2770.2,200,267,154,30,409.1,3,2
40,11,18,0,2,2770.2,200,267,154,30,56.4,4,1
41,11,19,1,2,2470.7,232,287,214,20,336.8,1,3
42,11,19,1,1,2470.7,232,287,214,20,212.9,2,2
43,11,19,1,3,2470.7,232,287,214,20,318.4,3,1
52,11,22,1,3,2523,267,277,241,48,300.98,1,5
53,11,22,1,2,2523,267,277,241,48,177.94,2,4
54,11,22,1,4,2523,267,277,241,48,237.9,3,3
55,11,22,1,1,2523,267,277,241,48,182.1,4,2
56,11,22,1,3,2523,267,277,241,48,624.4,5,1
57,11,23,0,3,1405.7,271,236,58,167,223.91,1,4
58,11,23,0,4,1405.7,271,236,58,167,284.16,2,3
59,11,23,0,2,1405.7,271,236,58,167,428,3,2
60,11,23,0,4,1405.7,271,236,58,167,67.5,4,1
76,11,27,0,1,1484.6,278,256,69,250,174.02,1,3
77,11,27,0,2,1484.6,278,256,69,250,224.05,2,2
78,11,27,0,4,1484.6,278,256,69,250,505.11,3,1
79,11,28,1,2,2014.7,272,186,12,153,512.1,1,3
80,11,28,1,1,2014.7,272,186,12,153,246.9,2,2
81,11,28,1,3,2014.7,272,186,12,153,179.4,3,1
83,11,30,0,2,1857.4,280,240,24,209,190.96,1,5
84,11,30,0,1,1857.4,280,240,24,209,37,2,4
85,11,30,0,4,1857.4,280,240,24,209,238.08,3,3
86,11,30,0,2,1857.4,280,240,24,209,523.1,4,2
87,11,30,0,4,1857.4,280,240,24,209,261.3,5,1
104,11,38,0,2,864.32,250,273,241,102,243.94,1,1
105,11,39,0,4,1218.4,200,235,155,50,222.81,1,3
106,11,39,0,3,1218.4,200,235,155,50,230.86,2,2
107,11,39,0,1,1218.4,200,235,155,50,58.1,3,1
108,11,40,0,2,1191.8,191,246,187,68,190.86,1,3
109,11,40,0,4,1191.8,191,246,187,68,212.09,2,2
110,11,40,0,1,1191.8,191,246,187,68,362.13,3,1
145,11,58,1,4,2081.2,294,226,37,134,162.12,1,7
146,11,58,1,1,2081.2,294,226,37,134,214.94,2,6
147,11,58,1,3,2081.2,294,226,37,134,153.03,3,5
148,11,58,1,4,2081.2,294,226,37,134,214.92,4,4
149,11,58,1,2,2081.2,294,226,37,134,524.4,5,3
150,11,58,1,1,2081.2,294,226,37,134,314.1,6,2
151,11,58,1,3,2081.2,294,226,37,134,82.1,7,1
159,11,61,1,1,1601.8,230,259,199,54,256.73,1,4
160,11,61,1,2,1601.8,230,259,199,54,5.94,2,3
161,11,61,1,4,1601.8,230,259,199,54,220.97,3,2
162,11,61,1,3,1601.8,230,259,199,54,460.9,4,1
167,11,63,1,1,596.58,270,250,105,234,208.55,1,2
168,11,63,1,3,596.58,270,250,105,234,42.1,2,1
181,11,68,1,4,1953,241,261,220,60,158.04,1,4
182,11,68,1,1,1953,241,261,220,60,236.91,2,3
183,11,68,1,3,1953,241,261,220,60,676.9,3,2
184,11,68,1,1,1953,241,261,220,60,131.1,4,1
194,11,72,1,1,1830.2,260,300,250,30,184.83,1,7
195,11,72,1,2,1830.2,260,300,250,30,166.09,2,6
196,11,72,1,4,1830.2,260,300,250,30,240.15,3,5
197,11,72,1,3,1830.2,260,300,250,30,279.9,4,4
198,11,72,1,1,1830.2,260,300,250,30,262,5,3
199,11,72,1,3,1830.2,260,300,250,30,198,6,2
200,11,72,1,2,1830.2,260,300,250,30,37.7,7,1
204,11,74,1,2,1579,262,290,258,111,227.82,1,4
205,11,74,1,4,1579,262,290,258,111,177.06,2,3
206,11,74,1,3,1579,262,290,258,111,376.8,3,2
207,11,74,1,1,1579,262,290,258,111,9.8,4,1
213,11,77,1,3,1733.5,203,291,174,50,274.69,1,2
214,11,77,1,1,1733.5,203,291,174,50,36.7,2,1
215,11,78,1,3,1095.5,260,295,240,61,5.71,1,2
216,11,78,1,1,1095.5,260,295,240,61,202.97,2,1
227,11,82,1,2,4183.4,250,281,171,62,229.01,1,12
228,11,82,1,1,4183.4,250,281,171,62,133.02,2,11
229,11,82,1,3,4183.4,250,281,171,62,250.99,3,10
230,11,82,1,4,4183.4,250,281,171,62,379.96,4,9
231,11,82,1,2,4183.4,250,281,171,62,277,5,8
232,11,82,1,4,4183.4,250,281,171,62,150.1,6,7
233,11,82,1,2,4183.4,250,281,171,62,7.9,7,6
234,11,82,1,1,4183.4,250,281,171,62,19.3,8,5
235,11,82,1,3,4183.4,250,281,171,62,811.8,9,4
236,11,82,1,4,4183.4,250,281,171,62,283.9,10,3
237,11,82,1,1,4183.4,250,281,171,62,5.8,11,2
238,11,82,1,2,4183.4,250,281,171,62,205.4,12,1
242,11,84,1,3,634.81,282,267,50,250,18.82,1,1
278,11,98,0,2,1069.8,255,245,33,240,395.87,1,2
279,11,98,0,4,1069.8,255,245,33,240,336.34,2,1
284,11,100,1,2,1982.4,240,289,152,28,205.83,1,3
285,11,100,1,1,1982.4,240,289,152,28,641.94,2,2
286,11,100,1,3,1982.4,240,289,152,28,286.2,3,1
287,11,101,0,4,1074.1,289,246,116,188,313.92,1,2
288,11,101,0,2,1074.1,289,246,116,188,87.2,2,1
289,11,102,0,2,997.39,260,234,42,180,200.78,1,3
290,11,102,0,4,997.39,260,234,42,180,199.78,2,2
291,11,102,0,3,997.39,260,234,42,180,257.09,3,1
296,11,105,0,3,1084.2,200,185,40,180,13.6,1,4
297,11,105,0,1,1084.2,200,185,40,180,151.55,2,3
298,11,105,0,2,1084.2,200,185,40,180,189.09,3,2
299,11,105,0,4,1084.2,200,185,40,180,69.2,4,1
300,11,106,0,4,1198.4,292,194,32,193,269.84,1,3
301,11,106,0,2,1198.4,292,194,32,193,364.36,2,2
302,11,106,0,4,1198.4,292,194,32,193,213.35,3,1
303,11,107,0,3,2295.4,193,250,168,51,126.86,1,7
304,11,107,0,1,2295.4,193,250,168,51,207.05,2,6
305,11,107,0,2,2295.4,193,250,168,51,198.83,3,5
306,11,107,0,4,2295.4,193,250,168,51,243.89,4,4
307,11,107,0,3,2295.4,193,250,168,51,250.1,5,3
308,11,107,0,1,2295.4,193,250,168,51,314.2,6,2
309,11,107,0,3,2295.4,193,250,168,51,481.9,7,1
314,11,109,0,2,1109.8,274,237,26,216,159.88,1,2
315,11,109,0,4,1109.8,274,237,26,216,103.2,2,1
316,11,110,0,2,1615.1,231,268,193,159,207.95,1,4
317,11,110,0,4,1615.1,231,268,193,159,220.96,2,3
318,11,110,0,3,1615.1,231,268,193,159,297.05,3,2
319,11,110,0,1,1615.1,231,268,193,159,322.1,4,1
328,11,113,0,4,1300.5,297,260,82,254,304.99,1,3
329,11,113,0,2,1300.5,297,260,82,254,294.05,2,2
330,11,113,0,4,1300.5,297,260,82,254,46.2,3,1
356,11,126,0,2,1183.8,281,241,22,220,300.84,1,3
357,11,126,0,4,1183.8,281,241,22,220,413.18,2,2
358,11,126,0,3,1183.8,281,241,22,220,49.1,3,1
370,11,130,1,2,2419.7,200,279,197,31,131.92,1,5
371,11,130,1,3,2419.7,200,279,197,31,443.02,2,4
372,11,130,1,1,2419.7,200,279,197,31,320.9,3,3
373,11,130,1,2,2419.7,200,279,197,31,294,4,2
374,11,130,1,3,2419.7,200,279,197,31,299.8,5,1
378,11,132,0,3,1451,286,256,79,198,9.81,1,4
379,11,132,0,1,1451,286,256,79,198,267.02,2,3
380,11,132,0,2,1451,286,256,79,198,287.19,3,2
381,11,132,0,4,1451,286,256,79,198,460.6,4,1
418,11,149,1,1,1203.9,205,267,202,12,180.98,1,2
419,11,149,1,2,1203.9,205,267,202,12,198.8,2,1
423,11,151,1,1,818.68,220,247,150,50,146.78,1,3
424,11,151,1,3,818.68,220,247,150,50,250.09,2,2
425,11,151,1,4,818.68,220,247,150,50,58.62,3,1
427,11,156,0,4,2256,230,213,41,193,339.8,1,1
428,11,157,1,3,901.45,252,279,217,84,244.86,1,1
434,11,163,1,3,749.63,222,249,200,49,249.44,1,1
435,11,167,0,2,908.44,250,270,199,132,172.82,1,2
436,11,167,0,4,908.44,250,270,199,132,134.16,2,1
437,11,168,1,2,2735.8,220,250,202,20,132.91,1,5
438,11,168,1,4,2735.8,220,250,202,20,332,2,4
439,11,168,1,3,2735.8,220,250,202,20,235,3,3
440,11,168,1,1,2735.8,220,250,202,20,415.9,4,2
