"","subj","trial","choice","roi","rt","upleftval","uprightval","downleftval","downrightval","fixdur","fixnum","revfixnum"
"1",11,1,1,2,1356.4,87,55,151,266,164,1,3
"2",11,1,1,4,1356.4,87,55,151,266,407.93,2,2
"3",11,1,1,1,1356.4,87,55,151,266,240.1,3,1
"8",11,4,0,2,1423,81,100,290,105,228.08,1,1
"9",11,5,1,2,1156.4,88,44,122,280,224.11,1,1
"13",11,8,1,3,1952.4,83,40,116,280,890.98,1,3
"14",11,8,1,2,1952.4,83,40,116,280,364.2,2,2
"15",11,8,1,4,1952.4,83,40,116,280,220.7,3,1
"22",11,11,1,2,1325.7,100,48,111,293,347.96,1,1
"23",11,12,0,3,2137,151,162,286,242,280.85,1,4
"24",11,12,0,2,2137,151,162,286,242,279.9,2,3
"25",11,12,0,1,2137,151,162,286,242,264.1,3,2
"26",11,12,0,4,2137,151,162,286,242,485.6,4,1
"27",11,13,0,2,973.99,27,77,296,159,307.69,1,1
"30",11,16,1,3,1630,70,40,88,258,185.19,1,3
"31",11,16,1,1,1630,70,40,88,258,168.7,2,2
"32",11,16,1,3,1630,70,40,88,258,67.5999999999999,3,1
"44",11,20,1,1,2522.3,72,50,130,252,292.84,1,5
"45",11,20,1,3,2522.3,72,50,130,252,461.93,2,4
"46",11,20,1,1,2522.3,72,50,130,252,268,3,3
"47",11,20,1,3,2522.3,72,50,130,252,263.1,4,2
"48",11,20,1,2,2522.3,72,50,130,252,509.1,5,1
"49",11,21,1,3,1336.4,73,40,162,283,249.01,1,3
"50",11,21,1,2,1336.4,73,40,162,283,294.95,2,2
"51",11,21,1,1,1336.4,73,40,162,283,240.9,3,1
"68",11,25,0,4,2219.2,106,149,260,150,306.95,1,5
"69",11,25,0,2,2219.2,106,149,260,150,171.16,2,4
"70",11,25,0,1,2219.2,106,149,260,150,206.9,3,3
"71",11,25,0,2,2219.2,106,149,260,150,248.1,4,2
"72",11,25,0,4,2219.2,106,149,260,150,616.5,5,1
"73",11,26,1,2,1417.8,156,125,226,283,374.94,1,3
"74",11,26,1,1,1417.8,156,125,226,283,133.3,2,2
"75",11,26,1,3,1417.8,156,125,226,283,259.4,3,1
"82",11,29,0,2,1003.2,70,126,270,140,316.85,1,1
"88",11,31,0,2,924.82,70,90,300,100,299.31,1,2
"89",11,31,0,4,924.82,70,90,300,100,24.44,2,1
"90",11,32,0,2,934.02,124,158,280,230,210.99,1,2
"91",11,32,0,1,934.02,124,158,280,230,33.2899999999999,2,1
"92",11,34,0,2,1426.9,100,119,285,125,429.77,1,2
"93",11,34,0,4,1426.9,100,119,285,125,415.93,2,1
"94",11,35,1,2,1142.8,60,30,64,226,259.81,1,1
"95",11,36,1,2,1636.5,91,46,186,284,271.02,1,4
"96",11,36,1,4,1636.5,91,46,186,284,229.2,2,3
"97",11,36,1,3,1636.5,91,46,186,284,280.98,3,2
"98",11,36,1,1,1636.5,91,46,186,284,123.1,4,1
"99",11,37,1,2,2149.7,150,140,160,209,461.99,1,5
"100",11,37,1,4,2149.7,150,140,160,209,453.27,2,4
"101",11,37,1,3,2149.7,150,140,160,209,228.2,3,3
"102",11,37,1,1,2149.7,150,140,160,209,407.1,4,2
"103",11,37,1,3,2149.7,150,140,160,209,175.5,5,1
"111",11,41,1,2,1019.9,141,93,187,296,167.04,1,3
"112",11,41,1,1,1019.9,141,93,187,296,207.09,2,2
"113",11,41,1,3,1019.9,141,93,187,296,156.24,3,1
"117",11,44,0,2,905.77,59,89,250,90,258.87,1,2
"118",11,44,0,4,905.77,59,89,250,90,274.92,2,1
"121",11,47,0,2,1588.8,121,135,299,232,410.85,1,3
"122",11,47,0,1,1588.8,121,135,299,232,300.82,2,2
"123",11,47,0,2,1588.8,121,135,299,232,331,3,1
"124",11,48,0,1,738.7,51,80,260,104,265.946,1,3
"125",11,48,0,2,738.7,51,80,260,104,294.39,2,2
"126",11,48,0,4,738.7,51,80,260,104,48.9200000000001,3,1
"131",11,50,1,1,1438.8,100,70,101,293,265.87,1,3
"132",11,50,1,2,1438.8,100,70,101,293,324.08,2,2
"133",11,50,1,3,1438.8,100,70,101,293,330.1,3,1
"134",11,52,1,2,647.56,70,45,99,276,174.94,1,2
"135",11,52,1,1,647.56,70,45,99,276,180.05,2,1
"136",11,53,1,2,668.39,54,13,95,281,169.04,1,2
"137",11,53,1,1,668.39,54,13,95,281,14.98,2,1
"138",11,54,0,2,772.34,47,64,283,101,188.64,1,2
"139",11,54,0,4,772.34,47,64,283,101,49.94,2,1
"140",11,55,1,3,1340.5,53,37,217,258,327.12,1,2
"141",11,55,1,1,1340.5,53,37,217,258,48.1,2,1
"142",11,56,1,2,653.26,100,70,150,245,132.07,1,2
"143",11,56,1,1,653.26,100,70,150,245,191.04,2,1
"144",11,57,0,2,682.85,55,75,269,97,374.25,1,1
"152",11,59,1,2,673.22,87,20,139,297,128.2,1,3
"153",11,59,1,1,673.22,87,20,139,297,157.91,2,2
"154",11,59,1,3,673.22,87,20,139,297,55.93,3,1
"155",11,60,1,1,1356.1,183,163,221,290,66.9,1,4
"156",11,60,1,2,1356.1,183,163,221,290,256.93,2,3
"157",11,60,1,4,1356.1,183,163,221,290,151.96,3,2
"158",11,60,1,3,1356.1,183,163,221,290,269.3,4,1
"163",11,62,1,1,1110.8,71,52,100,200,2.81999999999999,1,4
"164",11,62,1,2,1110.8,71,52,100,200,212.71,2,3
"165",11,62,1,1,1110.8,71,52,100,200,158.93,3,2
"166",11,62,1,3,1110.8,71,52,100,200,47.1999999999999,4,1
"169",11,64,1,1,1091.5,121,90,192,260,277.82,1,4
"170",11,64,1,2,1091.5,121,90,192,260,261.16,2,3
"171",11,64,1,1,1091.5,121,90,192,260,162.97,3,2
"172",11,64,1,3,1091.5,121,90,192,260,133.89,4,1
"173",11,65,1,3,814.8,100,75,108,241,65.74,1,1
"174",11,66,1,1,978.93,69,57,235,300,170.99,1,4
"175",11,66,1,2,978.93,69,57,235,300,233.85,2,3
"176",11,66,1,4,978.93,69,57,235,300,167.18,3,2
"177",11,66,1,3,978.93,69,57,235,300,52.99,4,1
"178",11,67,0,1,927.55,46,92,295,191,148.9,1,3
"179",11,67,0,2,927.55,46,92,295,191,189.97,2,2
"180",11,67,0,4,927.55,46,92,295,191,242.9,3,1
"185",11,69,1,1,1114.2,130,105,208,253,49.9,1,4
"186",11,69,1,2,1114.2,130,105,208,253,202.24,2,3
"187",11,69,1,4,1114.2,130,105,208,253,201.73,3,2
"188",11,69,1,3,1114.2,130,105,208,253,82.6,4,1
"189",11,70,0,2,1255.7,45,60,244,134,350,1,2
"190",11,70,0,4,1255.7,45,60,244,134,515.85,2,1
"191",11,71,1,2,763.75,76,60,90,160,143.82,1,3
"192",11,71,1,1,763.75,76,60,90,160,179.05,2,2
"193",11,71,1,3,763.75,76,60,90,160,90.02,3,1
"201",11,73,0,1,1123,95,146,284,158,230.89,1,3
"202",11,73,0,2,1123,95,146,284,158,227.06,2,2
"203",11,73,0,4,1123,95,146,284,158,138.66,3,1
"211",11,76,0,2,1027.5,54,85,186,126,387.01,1,2
"212",11,76,0,4,1027.5,54,85,186,126,200.84,2,1
"217",11,79,1,3,826.13,88,65,100,224,230.92,1,2
"218",11,79,1,1,826.13,88,65,100,224,37.57,2,1
"219",11,80,1,2,1262.9,242,230,250,290,252.21,1,4
"220",11,80,1,3,1262.9,242,230,250,290,279.95,2,3
"221",11,80,1,4,1262.9,242,230,250,290,184.89,3,2
"222",11,80,1,1,1262.9,242,230,250,290,154.8,4,1
"223",11,81,0,2,1825.6,92,117,236,162,800.72,1,4
"224",11,81,0,1,1825.6,92,117,236,162,6.00000000000001,2,3
"225",11,81,0,4,1825.6,92,117,236,162,319,3,2
"226",11,81,0,3,1825.6,92,117,236,162,119.6,4,1
"239",11,83,1,2,886.4,76,65,144,220,168.84,1,3
"240",11,83,1,1,886.4,76,65,144,220,145.86,2,2
"241",11,83,1,3,886.4,76,65,144,220,214.65,3,1
"243",11,85,1,2,1104.3,226,192,250,300,193.92,1,3
"244",11,85,1,1,1104.3,226,192,250,300,158.1,2,2
"245",11,85,1,3,1104.3,226,192,250,300,397.38,3,1
"246",11,86,0,2,1652.6,162,210,299,212,754.92,1,2
"247",11,86,0,4,1652.6,162,210,299,212,515.8,2,1
"248",11,87,1,1,1009.3,100,70,110,245,378.92,1,2
"249",11,87,1,3,1009.3,100,70,110,245,186.52,2,1
"250",11,88,0,2,979.33,14,56,268,185,194.82,1,2
"251",11,88,0,4,979.33,14,56,268,185,371.59,2,1
"252",11,89,0,2,1166.8,50,100,300,146,248.06,1,2
"253",11,89,0,4,1166.8,50,100,300,146,571.54,2,1
"254",11,91,1,1,1506.9,94,67,95,219,279.89,1,4
"255",11,91,1,2,1506.9,94,67,95,219,243.15,2,3
"256",11,91,1,4,1506.9,94,67,95,219,199.1,3,2
"257",11,91,1,3,1506.9,94,67,95,219,130.5,4,1
"263",11,93,1,2,974.25,95,59,110,294,194.05,1,1
"267",11,95,1,2,2062.8,99,77,221,277,229,1,5
"268",11,95,1,3,2062.8,99,77,221,277,324.11,2,4
"269",11,95,1,2,2062.8,99,77,221,277,342.8,3,3
"270",11,95,1,4,2062.8,99,77,221,277,181,4,2
"271",11,95,1,3,2062.8,99,77,221,277,250.2,5,1
"272",11,96,1,2,1247.1,60,29,195,270,9.42999999999999,1,3
"273",11,96,1,1,1247.1,60,29,195,270,55.91,2,2
"274",11,96,1,3,1247.1,60,29,195,270,153.5,3,1
"280",11,99,1,2,1709.2,90,72,208,246,187.04,1,4
"281",11,99,1,1,1709.2,90,72,208,246,148.95,2,3
"282",11,99,1,3,1709.2,90,72,208,246,424.9,3,2
"283",11,99,1,4,1709.2,90,72,208,246,541.3,4,1
"292",11,103,1,1,1332.1,82,73,129,229,140.9,1,2
"293",11,103,1,4,1332.1,82,73,129,229,363.22,2,1
"294",11,104,1,1,946.29,135,119,229,278,148.04,1,2
"295",11,104,1,3,946.29,135,119,229,278,212.03,2,1
"310",11,108,0,2,1450.1,85,117,278,125,218.91,1,4
"311",11,108,0,4,1450.1,85,117,278,125,439.01,2,3
"312",11,108,0,2,1450.1,85,117,278,125,271.9,3,2
"313",11,108,0,1,1450.1,85,117,278,125,143.1,4,1
"325",11,112,0,3,995.04,120,133,280,150,184.18,1,3
"326",11,112,0,2,995.04,120,133,280,150,298.05,2,2
"327",11,112,0,4,995.04,120,133,280,150,27.96,3,1
"331",11,114,0,2,2241.9,37,83,290,156,110.6,1,2
"332",11,114,0,4,2241.9,37,83,290,156,313.23,2,1
"333",11,115,0,2,1049.2,155,178,285,223,272.88,1,2
"334",11,115,0,4,1049.2,155,178,285,223,248,2,1
"335",11,116,0,4,1198.7,71,81,286,221,107.87,1,4
"336",11,116,0,2,1198.7,71,81,286,221,254.41,2,3
"337",11,116,0,1,1198.7,71,81,286,221,263.96,3,2
"338",11,116,0,3,1198.7,71,81,286,221,134.2,4,1
"339",11,117,0,4,1188.5,140,177,280,204,260.97,1,2
"340",11,117,0,1,1188.5,140,177,280,204,84.9,2,1
"341",11,118,0,2,1031.4,91,154,287,170,12.03,1,2
"342",11,118,0,1,1031.4,91,154,287,170,123.1,2,1
"347",11,120,1,1,1322.2,66,33,80,209,270.69,1,1
"348",11,121,0,4,867.5,50,99,300,100,20.76,1,1
"349",11,123,1,2,2245,98,86,227,274,345.85,1,5
"350",11,123,1,1,2245,98,86,227,274,40,2,4
"351",11,123,1,3,2245,98,86,227,274,290.8,3,3
"352",11,123,1,2,2245,98,86,227,274,272.9,4,2
"353",11,123,1,1,2245,98,86,227,274,9.00000000000034,5,1
"354",11,124,1,2,838.13,149,138,154,289,175.89,1,1
"355",11,125,1,2,678.27,85,55,95,285,147.85,1,1
"364",11,128,1,2,1186.4,62,55,141,267,334.95,1,2
"365",11,128,1,1,1186.4,62,55,141,267,88.9,2,1
"366",11,129,1,3,1017.9,51,24,97,221,245.92,1,4
"367",11,129,1,1,1017.9,51,24,97,221,182.05,2,3
"368",11,129,1,2,1017.9,51,24,97,221,196.97,3,2
"369",11,129,1,4,1017.9,51,24,97,221,124.15,4,1
"375",11,131,0,4,1080.8,71,82,288,119,56.48,1,3
"376",11,131,0,2,1080.8,71,82,288,119,324.73,2,2
"377",11,131,0,4,1080.8,71,82,288,119,78.1000000000001,3,1
"382",11,133,0,2,1284,88,101,287,202,259.96,1,3
"383",11,133,0,1,1284,88,101,287,202,237.98,2,2
"384",11,133,0,2,1284,88,101,287,202,15.0999999999999,3,1
"385",11,134,1,2,813.28,96,51,100,240,217.77,1,2
"386",11,134,1,1,813.28,96,51,100,240,169.86,2,1
"389",11,136,1,2,672.55,165,154,203,272,7.95999999999997,1,2
"390",11,136,1,1,672.55,165,154,203,272,38.59,2,1
"392",11,138,1,1,687.99,139,106,150,277,133.52,1,1
"393",11,139,0,2,743.34,50,82,295,226,281,1,2
"394",11,139,0,4,743.34,50,82,295,226,93.7,2,1
"395",11,140,1,2,672.26,106,69,159,300,5.89000000000001,1,2
"396",11,140,1,1,672.26,106,69,159,300,79.2,2,1
"397",11,141,1,1,618.62,68,31,112,291,49.5199999999999,1,1
"398",11,142,0,1,838.25,51,113,271,159,40.88,1,3
"399",11,142,0,2,838.25,51,113,271,159,169.99,2,2
"400",11,142,0,4,838.25,51,113,271,159,154.93,3,1
"408",11,145,0,2,676.41,89,99,292,202,235.62,1,1
"409",11,146,1,2,886.21,90,52,94,274,170,1,3
"410",11,146,1,1,886.21,90,52,94,274,176.93,2,2
"411",11,146,1,3,886.21,90,52,94,274,166.4,3,1
"412",11,147,0,2,895.26,173,191,292,218,168.04,1,2
"413",11,147,0,4,895.26,173,191,292,218,139.74,2,1
"420",11,150,1,3,1021.7,54,50,160,275,53.86,1,3
"421",11,150,1,2,1021.7,54,50,160,275,275.89,2,2
"422",11,150,1,4,1021.7,54,50,160,275,51.5100000000001,3,1
"429",11,159,0,2,1066.2,42,70,179,123,149.96,1,2
"430",11,159,0,4,1066.2,42,70,179,123,64.5,2,1
"431",11,161,0,4,1247.4,44,75,291,80,208.04,1,3
"432",11,161,0,2,1247.4,44,75,291,80,196.93,2,2
"433",11,161,0,3,1247.4,44,75,291,80,53.2000000000001,3,1
"442",11,169,1,3,1035.4,163,143,210,285,237,1,2
"443",11,169,1,4,1035.4,163,143,210,285,182.57,2,1
"450",11,172,1,1,1012.1,63,10,153,284,267.79,1,2
"451",11,172,1,4,1012.1,63,10,153,284,9.50000000000006,2,1
"457",11,174,1,1,952.04,84,74,226,272,268.99,1,3
"458",11,174,1,3,952.04,84,74,226,272,176.95,2,2
"459",11,174,1,4,952.04,84,74,226,272,219.63,3,1
"467",11,177,0,2,1185.4,40,70,159,78,446.87,1,3
"468",11,177,0,4,1185.4,40,70,159,78,225.91,2,2
"469",11,177,0,3,1185.4,40,70,159,78,106.2,3,1
"470",11,178,1,2,855.71,110,80,135,294,140.27,1,1
"478",11,181,0,2,1037.6,63,100,287,124,306.81,1,2
"479",11,181,0,4,1037.6,63,100,287,124,259.03,2,1
"480",11,182,0,2,1305.9,200,215,286,236,279.82,1,3
"481",11,182,0,4,1305.9,200,215,286,236,213.36,2,2
"482",11,182,0,3,1305.9,200,215,286,236,313.1,3,1
"486",11,186,1,4,921.63,104,87,140,280,240.87,1,3
"487",11,186,1,3,921.63,104,87,140,280,10.7999999999999,2,2
"488",11,186,1,1,921.63,104,87,140,280,174.17,3,1
"489",11,190,0,2,979.72,100,113,300,141,250.73,1,2
"490",11,190,0,4,979.72,100,113,300,141,50.8700000000001,2,1
"491",11,191,0,4,743.72,170,200,291,215,192.04,1,2
"492",11,191,0,2,743.72,170,200,291,215,246.94,2,1
"493",11,192,0,2,793.26,100,130,284,144,257.87,1,2
"494",11,192,0,4,793.26,100,130,284,144,116.17,2,1
"496",11,194,1,3,850.01,100,76,150,257,257.1,1,1
"7",14,2,1,1,4079.4,156,125,226,283,231.93,1,9
