"","subj","trial","choice","roi","rt","upleftval","uprightval","downleftval","downrightval","fixdur","fixnum","revfixnum"
"1",9,1,0,4,5262.1,252,177.1271,209,293,183.78,1,13
"2",9,1,0,2,5262.1,252,177.1271,209,293,239.95,2,12
"3",9,1,0,1,5262.1,252,177.1271,209,293,240.12,3,11
"4",9,1,0,3,5262.1,252,177.1271,209,293,332.1,4,10
"5",9,1,0,2,5262.1,252,177.1271,209,293,204,5,9
"6",9,1,0,4,5262.1,252,177.1271,209,293,466.2,6,8
"7",9,1,0,1,5262.1,252,177.1271,209,293,608,7,7
"8",9,1,0,3,5262.1,252,177.1271,209,293,588.1,8,6
"9",9,1,0,1,5262.1,252,177.1271,209,293,220.1,9,5
"10",9,1,0,2,5262.1,252,177.1271,209,293,256.5,10,4
"11",9,1,0,3,5262.1,252,177.1271,209,293,266,11,3
"12",9,1,0,2,5262.1,252,177.1271,209,293,588.6,12,2
"13",9,1,0,3,5262.1,252,177.1271,209,293,108.7,13,1
"14",9,2,0,1,7743.8,216.7874,127,58,117,351.14,1,20
"15",9,2,0,3,7743.8,216.7874,127,58,117,192.06,2,19
"16",9,2,0,4,7743.8,216.7874,127,58,117,125.94,3,18
"17",9,2,0,2,7743.8,216.7874,127,58,117,200.16,4,17
"18",9,2,0,4,7743.8,216.7874,127,58,117,356.1,5,16
"19",9,2,0,2,7743.8,216.7874,127,58,117,68.1000000000001,6,15
"20",9,2,0,1,7743.8,216.7874,127,58,117,498.2,7,14
"21",9,2,0,3,7743.8,216.7874,127,58,117,349.9,8,13
"22",9,2,0,4,7743.8,216.7874,127,58,117,1.99999999999978,9,12
"23",9,2,0,3,7743.8,216.7874,127,58,117,202.8,10,11
"24",9,2,0,1,7743.8,216.7874,127,58,117,916.1,11,10
"25",9,2,0,3,7743.8,216.7874,127,58,117,97.9999999999999,12,9
"26",9,2,0,1,7743.8,216.7874,127,58,117,1038.1,13,8
"27",9,2,0,2,7743.8,216.7874,127,58,117,304.1,14,7
"28",9,2,0,4,7743.8,216.7874,127,58,117,2.2000000000002,15,6
"29",9,2,0,3,7743.8,216.7874,127,58,117,5.99999999999934,16,5
"30",9,2,0,4,7743.8,216.7874,127,58,117,6.60000000000061,17,4
"31",9,2,0,2,7743.8,216.7874,127,58,117,593.3,18,3
"32",9,2,0,4,7743.8,216.7874,127,58,117,1144.6,19,2
"33",9,2,0,3,7743.8,216.7874,127,58,117,494.9,20,1
"34",9,3,1,1,8794.7,30.9468,99,240,85,31.97,1,22
"35",9,3,1,3,8794.7,30.9468,99,240,85,207.96,2,21
"36",9,3,1,4,8794.7,30.9468,99,240,85,154,3,20
"37",9,3,1,2,8794.7,30.9468,99,240,85,334,4,19
"38",9,3,1,4,8794.7,30.9468,99,240,85,146,5,18
"39",9,3,1,1,8794.7,30.9468,99,240,85,56.1,6,17
"40",9,3,1,3,8794.7,30.9468,99,240,85,452.6,7,16
"41",9,3,1,1,8794.7,30.9468,99,240,85,692,8,15
"42",9,3,1,2,8794.7,30.9468,99,240,85,205.7,9,14
"43",9,3,1,1,8794.7,30.9468,99,240,85,5.59999999999983,10,13
"44",9,3,1,3,8794.7,30.9468,99,240,85,89.9999999999999,11,12
"45",9,3,1,4,8794.7,30.9468,99,240,85,4.10000000000021,12,11
"46",9,3,1,1,8794.7,30.9468,99,240,85,946,13,10
"47",9,3,1,2,8794.7,30.9468,99,240,85,236,14,9
"48",9,3,1,3,8794.7,30.9468,99,240,85,3.3000000000003,15,8
"49",9,3,1,4,8794.7,30.9468,99,240,85,5.79999999999981,16,7
"50",9,3,1,2,8794.7,30.9468,99,240,85,114.100000000001,17,6
"51",9,3,1,4,8794.7,30.9468,99,240,85,1050.1,18,5
"52",9,3,1,3,8794.7,30.9468,99,240,85,364.100000000001,19,4
"53",9,3,1,1,8794.7,30.9468,99,240,85,204.7,20,3
"54",9,3,1,2,8794.7,30.9468,99,240,85,161.9,21,2
"55",9,3,1,3,8794.7,30.9468,99,240,85,1018.9,22,1
"56",9,4,0,1,13963.4,76,37.6023,171,299,158,1,26
"57",9,4,0,2,13963.4,76,37.6023,171,299,219.93,2,25
"58",9,4,0,4,13963.4,76,37.6023,171,299,3.80000000000003,3,24
"59",9,4,0,3,13963.4,76,37.6023,171,299,150,4,23
"60",9,4,0,2,13963.4,76,37.6023,171,299,442,5,22
"61",9,4,0,4,13963.4,76,37.6023,171,299,3.89999999999979,6,21
"62",9,4,0,3,13963.4,76,37.6023,171,299,11.8999999999998,7,20
"63",9,4,0,1,13963.4,76,37.6023,171,299,399.9,8,19
"64",9,4,0,3,13963.4,76,37.6023,171,299,2338,9,18
"65",9,4,0,4,13963.4,76,37.6023,171,299,5.79999999999981,10,17
"66",9,4,0,2,13963.4,76,37.6023,171,299,1180.2,11,16
"67",9,4,0,4,13963.4,76,37.6023,171,299,662.1,12,15
"68",9,4,0,2,13963.4,76,37.6023,171,299,96.2000000000005,13,14
"69",9,4,0,4,13963.4,76,37.6023,171,299,2.10000000000043,14,13
"70",9,4,0,2,13963.4,76,37.6023,171,299,11.8999999999998,15,12
"71",9,4,0,3,13963.4,76,37.6023,171,299,2405.7,16,11
"72",9,4,0,1,13963.4,76,37.6023,171,299,938.199999999998,17,10
"73",9,4,0,2,13963.4,76,37.6023,171,299,254.000000000001,18,9
"74",9,4,0,4,13963.4,76,37.6023,171,299,1.9000000000009,19,8
"75",9,4,0,3,13963.4,76,37.6023,171,299,2.10000000000043,20,7
"76",9,4,0,4,13963.4,76,37.6023,171,299,6.00000000000023,21,6
"77",9,4,0,2,13963.4,76,37.6023,171,299,362.500000000001,22,5
"78",9,4,0,4,13963.4,76,37.6023,171,299,353.400000000001,23,4
"79",9,4,0,3,13963.4,76,37.6023,171,299,394.8,24,3
"80",9,4,0,4,13963.4,76,37.6023,171,299,197.899999999999,25,2
"81",9,4,0,2,13963.4,76,37.6023,171,299,178.800000000001,26,1
"82",9,5,1,4,12428.9,110,169,296.8188,231,141.83,1,21
"83",9,5,1,3,12428.9,110,169,296.8188,231,8.14000000000004,2,20
"84",9,5,1,2,12428.9,110,169,296.8188,231,197.81,3,19
"85",9,5,1,1,12428.9,110,169,296.8188,231,188.1,4,18
"86",9,5,1,3,12428.9,110,169,296.8188,231,200,5,17
"87",9,5,1,1,12428.9,110,169,296.8188,231,312.1,6,16
"88",9,5,1,2,12428.9,110,169,296.8188,231,240,7,15
"89",9,5,1,4,12428.9,110,169,296.8188,231,480.2,8,14
"90",9,5,1,3,12428.9,110,169,296.8188,231,12.4,9,13
"91",9,5,1,2,12428.9,110,169,296.8188,231,305.9,10,12
"92",9,5,1,1,12428.9,110,169,296.8188,231,194.2,11,11
"93",9,5,1,2,12428.9,110,169,296.8188,231,1031.9,12,10
"94",9,5,1,4,12428.9,110,169,296.8188,231,2059,13,9
"95",9,5,1,3,12428.9,110,169,296.8188,231,1985.9,14,8
"96",9,5,1,1,12428.9,110,169,296.8188,231,1349.8,15,7
"97",9,5,1,3,12428.9,110,169,296.8188,231,95.9000000000003,16,6
"98",9,5,1,2,12428.9,110,169,296.8188,231,303.699999999999,17,5
"99",9,5,1,4,12428.9,110,169,296.8188,231,818,18,4
"100",9,5,1,2,12428.9,110,169,296.8188,231,382.7,19,3
"101",9,5,1,4,12428.9,110,169,296.8188,231,598.2,20,2
"102",9,5,1,3,12428.9,110,169,296.8188,231,96.4000000000009,21,1
"103",9,6,0,1,9610.5,248,196,165.38,212,13.64,1,21
"104",9,6,0,2,9610.5,248,196,165.38,212,177.82,2,20
"105",9,6,0,3,9610.5,248,196,165.38,212,169.8,3,19
"106",9,6,0,4,9610.5,248,196,165.38,212,265.8,4,18
"107",9,6,0,2,9610.5,248,196,165.38,212,261.3,5,17
"108",9,6,0,1,9610.5,248,196,165.38,212,261.4,6,16
