"","val_A1","val_B1","val_A2","val_B2","subj_idx","drift","rho","noise","nDT","bias","thetaGaze_A","thetaGaze_B","RT_PN","fixDur_A_sum","fixDur_sum"
"1",177.1271,252,293,209,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,2.0149434736,1093.93,1744
"2",216.7874,127,58,117,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,2.1849434736,1163.7,1914
"3",30.9468,99,240,85,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,1.9009434736,996,1630
"4",37.6023,76,299,171,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,1.8499434736,669.63,1579
"5",110,169,296.8188,231,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,1.9079434736,708.34,1637
"6",248,196,165.38,212,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,1.1659434736,190.08,895
"7",131,233,293,171.7137,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,7.0049434736,1155.761,6734
"8",77,117,219,174.1721,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,1.4439434736,549.57,1173
"9",136,171,266.422,227,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,2.3739434736,1096.52,2103
"10",92,214,289,142.6763,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,1.7359434736,450.07,1465
"11",230,182,116,152.6308,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,1.1689434736,601.74,898
"12",166,200.8649,281,234,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,4.2759434736,1356.46,4005
"13",265,147,35,70.1675,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,3.0889434736,1295.32,2818
"14",245,189,90.0296,136,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,4.1839434736,1802.68,3913
"15",183.3187,123,72,108,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,1.5649434736,407.85,1294
"16",271,200,155,217.342,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,1.2939434736,555.88,1023
"17",193,135,39.804,103,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,2.5309434736,1114.24,2260
"18",284,83,43.5115,175,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,2.7079434736,1126.32,2437
"19",205,130,71,112.2706,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,1.4259434736,732.11,1155
"20",93,190,283.1057,178,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,1.3059434736,275.83,1035
"21",123,77,35,73.3212,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,1.8639434736,1010.97,1593
"22",75,156,255.7032,170,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,1.5039434736,3.89999999999979,1233
"23",256,149,48,142.2412,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,2.4719434736,1696.69,2201
"24",35,73.0301,266,201,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,1.7729434736,792.07,1502
"25",268,151,86,134.4648,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,2.4269434736,1064.65,2156
"26",39,139,260,115.7281,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,1.7889434736,520.37,1518
"27",132,180,259.7662,202,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,1.9459434736,1035.99,1675
"28",278,181,41,73.5685,1,0.133510902107667,0.570935581856667,0.32187146831,0.2709434736,0.461714931133333,0.9687398613,0.439226186023333,2.6769434736,1111.9,2406
