"","val_A_scaled","val_B_scaled","prob_A","prob_B","subj_idx","drift","rho","noise","nDT","thetaGaze_A","thetaGaze_B","RT_PN","fixDur_A_sum","fixDur_sum"
"1",0.8,0.4,0.5,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-12.8140277414333,5320,12086
"2",0.6,0.36,0.6,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-5.19502774143333,1861,4467
"3",0.8,0.32,0.4,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-15.5180277414333,8112,14790
"4",1,0.5,0.5,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-2.34102774143333,0,1613
"5",0.1,0.06,0.6,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-9.84502774143333,3587,9117
"6",0.2,0.06,0.3,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,14.3680277414333,6646,13640
"7",0.1,0.08,0.8,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,6.73102774143333,2388,6003
"8",0.4,0.36,0.9,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-7.00902774143333,3199,6281
"9",0.2,0.08,0.4,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-2.47402774143333,682,1746
"10",0.5,0.45,0.9,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-7.66602774143333,2992,6938
"11",0.7,0.21,0.3,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-11.4340277414333,6074,10706
"12",1,0.7,0.7,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,5.83102774143333,2174,5103
"13",0.6,0.3,0.5,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-7.64702774143333,3008,6919
"14",0.1,0.07,0.7,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,17.7040277414333,7414,16976
"15",0.6,0.48,0.8,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-18.5620277414333,7788,17834
"16",1,0.9,0.9,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-3.60502774143333,1113,2877
"17",0.8,0.72,0.9,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-6.59802774143333,2588,5870
"18",0.8,0.64,0.8,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,16.3480277414333,7424,15620
"19",0.6,0.54,0.9,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-7.70202774143333,5378,6974
"20",0.7,0.49,0.7,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-1.81502774143333,0,1087
"21",0.9,0.45,0.5,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-15.4510277414333,7480,14723
"22",0.3,0.09,0.3,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-2.02702774143333,1299,1299
"23",0.4,0.24,0.6,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,11.0640277414333,4648,10336
"24",0.4,0.32,0.8,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,14.7780277414333,7418,14050
"25",0.8,0.48,0.6,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-15.3980277414333,5040,14670
"26",0.4,0.2,0.5,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,15.0410277414333,7354,14313
"27",0.3,0.12,0.4,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-5.80002774143333,2302,5072
"28",0.7,0.42,0.6,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-2.87102774143333,1097,2143
"29",0.3,0.21,0.7,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-4.13402774143333,1882,3406
"30",1,0.3,0.3,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,9.59502774143333,2964,8867
"31",0.2,0.14,0.7,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-6.81202774143333,4056,6084
"32",0.2,0.16,0.8,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-12.6020277414333,4736,11874
"33",0.9,0.72,0.8,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-2.22302774143333,208,1495
"34",0.4,0.12,0.3,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,14.5410277414333,7000,13813
"35",0.3,0.27,0.9,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-9.89002774143333,3692,9162
"36",0.5,0.4,0.8,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-11.6350277414333,4297,10907
"37",0.1,0.03,0.3,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-3.03002774143333,982,2302
"38",0.4,0.28,0.7,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-7.58802774143333,4042,6860
"39",0.9,0.63,0.7,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-4.40902774143333,2800,3681
"40",0.5,0.25,0.5,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-20.0190277414333,9309,19291
"41",0.7,0.28,0.4,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,6.25802774143333,2324,5530
"42",0.1,0.05,0.5,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,5.52202774143333,2414,4794
"43",0.8,0.56,0.7,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-4.64002774143333,1362,3912
"44",0.3,0.18,0.6,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,2.11502774143333,727,1387
"45",1,0.8,0.8,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-3.90602774143333,1436,3178
"46",0.7,0.35,0.5,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-3.22402774143333,390,2496
"47",0.5,0.35,0.7,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-19.9790277414333,8372,19251
"48",0.3,0.15,0.5,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-6.71602774143333,1150,5988
"49",0.7,0.56,0.8,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,7.30702774143333,2844,6579
"50",0.6,0.42,0.7,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,15.2450277414333,6279,14517
"51",0.2,0.1,0.5,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-13.8200277414333,4708,13092
"52",0.9,0.54,0.6,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-5.58802774143333,2730,4860
"53",0.5,0.2,0.4,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-3.42902774143333,584,2701
"54",1,0.6,0.6,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,4.23302774143333,766,3505
"55",0.1,0.04,0.4,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-5.97202774143333,2324,5244
"56",0.9,0.81,0.9,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-6.28702774143333,1989,5559
"57",0.2,0.12,0.6,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-5.11902774143333,1955,4391
"58",0.7,0.63,0.9,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-3.02202774143333,964,2294
"59",0.9,0.36,0.4,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,2.88202774143333,0,2154
"60",0.1,0.09,0.9,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,4.93702774143333,2109,4209
"61",0.4,0.16,0.4,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-6.98202774143333,3622,6254
"62",1,0.4,0.4,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-4.98102774143333,2153,4253
"63",0.5,0.3,0.6,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-4.12302774143333,98.9999999999995,3395
"64",0.9,0.27,0.3,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-4.46802774143333,778,3740
"65",0.5,0.15,0.3,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,12.0380277414333,6152,11310
"66",0.2,0.18,0.9,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-27.1300277414333,5674,26402
"67",0.6,0.24,0.4,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,14.9300277414333,5586,14202
"68",0.3,0.24,0.8,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-4.90802774143333,2198,4180
"69",0.6,0.18,0.3,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,5.66002774143333,3090,4932
"70",0.8,0.24,0.3,1,1,0.996391583633333,1.0117896299,0.31249897106,0.728027741433333,0.151237305836667,0.752386742026667,-8.66502774143333,4347,7937
"71",0.6,0.24,0.4,1,2,1.10978370196667,0.887793729733333,0.350612357833333,1.24691456716667,0.0870304224933333,0.368085537866667,9.52991456716667,3772,8283
"72",0.4,0.2,0.5,1,2,1.10978370196667,0.887793729733333,0.350612357833333,1.24691456716667,0.0870304224933333,0.368085537866667,5.34591456716667,1866,4099
"73",0.6,0.18,0.3,1,2,1.10978370196667,0.887793729733333,0.350612357833333,1.24691456716667,0.0870304224933333,0.368085537866667,-6.36491456716667,2002,5118
"74",0.8,0.32,0.4,1,2,1.10978370196667,0.887793729733333,0.350612357833333,1.24691456716667,0.0870304224933333,0.368085537866667,-7.26391456716667,2433,6017
"75",0.9,0.36,0.4,1,2,1.10978370196667,0.887793729733333,0.350612357833333,1.24691456716667,0.0870304224933333,0.368085537866667,-8.83791456716667,5167,7591
"76",0.9,0.54,0.6,1,2,1.10978370196667,0.887793729733333,0.350612357833333,1.24691456716667,0.0870304224933333,0.368085537866667,7.59191456716667,3153,6345
"77",0.2,0.16,0.8,1,2,1.10978370196667,0.887793729733333,0.350612357833333,1.24691456716667,0.0870304224933333,0.368085537866667,-5.92991456716667,2348,4683
