"","val_A_scaled","val_B_scaled","prob_A","prob_B","subj_idx","drift","rho","noise","nDT","thetaGaze_A","thetaGaze_B","RT_PN","fixDur_A_sum","fixDur_sum"
"1",500,100,0.5,0.6,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-4.33247305763333,1942,3422
"2",400,100,0.8,0.9,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,3.58647305763333,1436,2676
"3",500,200,0.6,1,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-2.10947305763333,691,1199
"4",500,200,0.6,0.9,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-2.42047305763333,521,1510
"5",500,100,0.8,0.9,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,3.14447305763333,1984,2234
"6",300,100,0.8,1,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-5.14347305763333,3527,4233
"7",400,100,0.5,0.8,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-4.25047305763333,2045,3340
"8",500,200,0.7,0.8,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,6.07447305763333,3756,5164
"9",500,100,0.5,1,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-2.72747305763333,1561,1817
"10",500,300,0.9,1,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,1.59247305763333,0,682
"11",400,100,0.7,1,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-6.44547305763333,2337,5535
"12",500,200,0.4,0.5,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,7.49147305763333,3820,6581
"13",500,100,0.6,0.8,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,4.72747305763333,2118,3817
"14",500,100,0.6,0.9,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-2.75347305763333,478,1843
"15",400,100,0.6,0.8,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-1.39847305763333,0,488
"16",300,100,0.7,0.9,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,5.72347305763333,3214,4813
"17",400,200,0.8,1,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-5.87247305763333,2409,4962
"18",500,100,0.4,0.7,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,7.24647305763333,2100,6336
"19",500,100,0.7,0.9,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-3.27847305763333,1230,2368
"20",500,100,0.4,1,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-1.35647305763333,0,446
"21",500,100,0.6,1,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-2.04647305763333,721,1136
"22",400,100,0.5,0.7,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-1.84447305763333,269,934
"23",400,100,0.9,1,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,2.83047305763333,1375,1920
"24",500,100,0.7,1,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,3.59047305763333,1580,2680
"25",400,100,0.5,0.6,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,4.63647305763333,2141,3726
"26",300,100,0.6,0.8,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,6.31747305763333,3163,5407
"27",400,100,0.6,1,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,6.20247305763333,3400,5292
"28",500,100,0.4,0.5,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,1.96647305763333,416,1056
"29",500,200,0.5,0.6,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-2.34547305763333,309,1435
"30",500,100,0.4,0.6,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-2.13547305763333,442,1225
"31",500,300,0.8,0.9,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,5.76047305763333,2514,4850
"32",500,200,0.6,0.8,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,4.63647305763333,1241,3726
"33",500,200,0.7,0.9,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-1.74747305763333,435,837
"34",400,200,0.7,0.8,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-2.71047305763333,1390,1800
"35",500,100,0.9,1,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,2.61747305763333,831,1707
"36",500,100,0.5,0.7,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,6.10947305763333,2481,5199
"37",400,100,0.7,0.9,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-7.75647305763333,5195,6846
"38",400,100,0.6,0.7,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,5.19447305763333,2617,4284
"39",300,100,0.7,0.8,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,2.28647305763333,591,1376
"40",500,100,0.7,0.8,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,2.79347305763333,1037,1883
"41",500,100,0.4,0.8,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,2.30647305763333,550,1396
"42",400,200,0.8,0.9,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,2.16547305763333,589,1255
"43",500,200,0.6,0.7,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-2.89247305763333,1056,1982
"44",300,100,0.7,1,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-1.79447305763333,568,884
