"","val_A_scaled","val_B_scaled","prob_A","prob_B","subj_idx","drift","rho","noise","nDT","thetaGaze_A","thetaGaze_B","RT_PN","fixDur_A_sum","fixDur_sum"
"1",1,0.2,0.5,0.6,1,2.3875332197,0.25567086505,0.5028317708,0.910564205933333,0.854222601566667,0.9076287452,14.5415642059333,3976,13631
"2",0.8,0.2,0.8,0.9,1,2.3875332197,0.25567086505,0.5028317708,0.910564205933333,0.854222601566667,0.9076287452,2.22856420593333,612,1318
"3",1,0.4,0.6,1,1,2.3875332197,0.25567086505,0.5028317708,0.910564205933333,0.854222601566667,0.9076287452,1.65856420593333,653,748
"4",1,0.4,0.6,0.9,1,2.3875332197,0.25567086505,0.5028317708,0.910564205933333,0.854222601566667,0.9076287452,-3.16056420593333,1261,2250
"5",1,0.2,0.8,0.9,1,2.3875332197,0.25567086505,0.5028317708,0.910564205933333,0.854222601566667,0.9076287452,1.55456420593333,644,644
"6",0.6,0.2,0.8,1,1,2.3875332197,0.25567086505,0.5028317708,0.910564205933333,0.854222601566667,0.9076287452,-4.46556420593333,3360,3555
"7",0.8,0.2,0.5,0.8,1,2.3875332197,0.25567086505,0.5028317708,0.910564205933333,0.854222601566667,0.9076287452,1.62856420593333,340,718
"8",1,0.4,0.7,0.8,1,2.3875332197,0.25567086505,0.5028317708,0.910564205933333,0.854222601566667,0.9076287452,5.46356420593333,3325,4553
"9",1,0.2,0.5,1,1,2.3875332197,0.25567086505,0.5028317708,0.910564205933333,0.854222601566667,0.9076287452,-2.00456420593333,838,1094
"10",1,0.6,0.9,1,1,2.3875332197,0.25567086505,0.5028317708,0.910564205933333,0.854222601566667,0.9076287452,5.35756420593333,1435,4447
"11",0.8,0.2,0.7,1,1,2.3875332197,0.25567086505,0.5028317708,0.910564205933333,0.854222601566667,0.9076287452,-2.30356420593333,349,1393
"12",1,0.4,0.4,0.5,1,2.3875332197,0.25567086505,0.5028317708,0.910564205933333,0.854222601566667,0.9076287452,5.61756420593333,3053,4707
"13",1,0.2,0.6,0.8,1,2.3875332197,0.25567086505,0.5028317708,0.910564205933333,0.854222601566667,0.9076287452,4.80856420593333,2170,3898
"14",1,0.2,0.6,0.9,1,2.3875332197,0.25567086505,0.5028317708,0.910564205933333,0.854222601566667,0.9076287452,3.79156420593333,1459,2881
"15",0.8,0.2,0.6,0.8,1,2.3875332197,0.25567086505,0.5028317708,0.910564205933333,0.854222601566667,0.9076287452,-7.59756420593333,3612,6687
"16",0.6,0.2,0.7,0.9,1,2.3875332197,0.25567086505,0.5028317708,0.910564205933333,0.854222601566667,0.9076287452,2.11156420593333,901,1201
"17",0.8,0.4,0.8,1,1,2.3875332197,0.25567086505,0.5028317708,0.910564205933333,0.854222601566667,0.9076287452,-3.31656420593333,1338,2406
"18",1,0.2,0.4,0.7,1,2.3875332197,0.25567086505,0.5028317708,0.910564205933333,0.854222601566667,0.9076287452,-3.37756420593333,1134,2467
"19",1,0.2,0.7,0.9,1,2.3875332197,0.25567086505,0.5028317708,0.910564205933333,0.854222601566667,0.9076287452,3.59656420593333,1230,2686
