"","val_A_scaled","val_B_scaled","prob_A","prob_B","subj_idx","drift","noise","nDT","bias","thetaGaze_A","thetaGaze_B","RT_PN","fixDur_A_sum","fixDur_sum"
"1",500,100,0.5,0.6,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,2.2652248882,697,1320
"2",400,100,0.8,0.9,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-16.7892248882,2529,15844
"3",500,200,0.6,1,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-3.0572248882,1340,2112
"4",500,200,0.6,0.9,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,5.8882248882,2897,4943
"5",500,100,0.8,0.9,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,1.5412248882,596,596
"6",300,100,0.8,1,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-4.4662248882,3326,3521
"7",400,100,0.5,0.8,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,2.7062248882,1352,1761
"8",500,200,0.7,0.8,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-3.1222248882,1222,2177
"9",500,100,0.5,1,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,3.3922248882,2191,2447
"10",500,300,0.9,1,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-7.1022248882,1844,6157
"11",400,100,0.7,1,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-1.6122248882,349,667
"12",500,200,0.4,0.5,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,3.2032248882,1414,2258
"13",500,100,0.6,0.8,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,4.9952248882,2170,4050
"14",500,100,0.6,0.9,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,4.9872248882,2215,4042
"15",400,100,0.6,0.8,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-3.6042248882,1590,2659
"16",300,100,0.7,0.9,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-3.7302248882,1921,2785
"17",400,200,0.8,1,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,2.2052248882,653,1260
"18",500,100,0.4,0.7,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,7.1352248882,2100,6190
"19",500,100,0.7,0.9,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-1.4022248882,333,457
"20",500,100,0.4,1,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,3.4502248882,765,2505
"21",500,100,0.6,1,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-2.1762248882,794,1231
"22",400,100,0.5,0.7,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,4.4392248882,1713,3494
"23",400,100,0.9,1,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,2.1842248882,694,1239
"24",500,100,0.7,1,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,6.9802248882,2915,6035
"25",400,100,0.5,0.6,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,5.5562248882,2483,4611
"26",300,100,0.6,0.8,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,3.2792248882,1741,2334
"27",400,100,0.6,1,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,5.5332248882,2943,4588
"28",500,100,0.4,0.5,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,3.3782248882,1091,2433
"29",500,200,0.5,0.6,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,1.8602248882,0,915
"30",500,100,0.4,0.6,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,4.4162248882,1494,3471
"31",500,300,0.8,0.9,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,2.6602248882,742,1715
"32",500,200,0.6,0.8,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-3.6652248882,1220,2720
"33",500,200,0.7,0.9,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-1.4862248882,173,541
"34",400,200,0.7,0.8,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-6.6202248882,2930,5675
"35",500,100,0.9,1,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,7.6072248882,2853,6662
"36",500,100,0.5,0.7,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,4.7122248882,1602,3767
"37",400,100,0.7,0.9,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,4.0812248882,3136,3136
"38",400,100,0.6,0.7,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-3.1432248882,1290,2198
"39",300,100,0.7,0.8,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,2.8292248882,613,1884
"40",500,100,0.7,0.8,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,1.8602248882,400,915
"41",500,100,0.4,0.8,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,2.3182248882,550,1373
"42",400,200,0.8,0.9,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-5.2702248882,2631,4325
"43",500,200,0.6,0.7,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,2.3102248882,608,1365
"44",300,100,0.7,1,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-2.1712248882,568,1226
"45",500,200,0.9,1,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,3.2302248882,1433,2285
"46",400,100,0.6,0.9,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,5.2492248882,2310,4304
"47",300,100,0.9,1,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,1.9742248882,429,1029
"48",400,100,0.7,0.8,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-4.6872248882,2041,3742
"49",500,100,0.6,0.7,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-9.9612248882,1857,9016
"50",400,100,0.4,0.5,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,5.3412248882,3908,4396
"51",500,100,0.8,1,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,3.5632248882,1822,2618
"52",500,100,0.3,0.5,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,2.9132248882,933,1968
"53",400,200,0.6,0.7,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,5.9442248882,2142,4999
"54",500,200,0.8,0.9,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,6.3282248882,2322,5383
"55",500,100,0.5,0.9,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,2.9672248882,1054,2022
"56",500,200,0.8,1,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-10.1702248882,3515,9225
"57",400,200,0.7,0.9,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-1.7842248882,312,839
"58",500,300,0.7,0.8,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-2.9932248882,905,2048
"59",500,200,0.5,0.7,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,1.8092248882,280,864
"60",300,100,0.6,0.7,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-12.6572248882,3362,11712
"61",500,100,0.4,0.9,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-1.8082248882,369,863
"62",300,100,0.8,0.9,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,3.0512248882,1459,2106
"63",500,100,0.5,0.8,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-1.4672248882,308,522
"64",500,100,0.3,0.4,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,12.2692248882,4280,11324
"65",500,300,0.8,1,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-2.6342248882,1068,1689
"66",400,200,0.9,1,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-3.6332248882,1869,2688
"67",400,100,0.8,1,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-1.5562248882,320,611
"68",400,100,0.4,0.6,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-2.6592248882,1149,1714
"69",500,200,0.7,1,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-1.2802248882,0,335
"70",400,100,0.5,1,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-2.5622248882,889,1617
"71",400,100,0.5,0.9,1,0.001838835971002,0.535915725766667,0.9452248882,0.4355282618,0.08639436627,0.86618548385,-1.9302248882,985,985
"72",500,100,0.5,0.7,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,3.2024568169,636,2605
"73",500,300,0.9,1,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-2.0954568169,997,1498
"74",500,100,0.4,0.7,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,4.6054568169,2172,4008
"75",500,100,0.8,1,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-7.1034568169,2496,6506
"76",500,100,0.5,0.6,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-3.8464568169,1846,3249
"77",400,100,0.7,1,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-1.8374568169,578,1240
"78",500,200,0.4,0.5,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-0.9284568169,202,331
"79",400,200,0.8,0.9,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,4.1994568169,2176,3602
"80",500,100,0.6,0.8,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-6.6614568169,2440,6064
"81",300,100,0.7,0.9,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,3.2674568169,1154,2670
"82",500,100,0.4,1,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-3.9194568169,1464,3322
"83",400,200,0.7,0.8,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-0.8194568169,222,222
"84",500,200,0.5,0.7,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-1.3524568169,314,755
"85",400,100,0.9,1,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-4.3644568169,1701,3767
"86",400,200,0.7,0.9,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-2.4024568169,1166,1805
"87",400,100,0.6,0.7,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-2.0774568169,1026,1480
"88",400,100,0.5,0.6,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-0.8754568169,169,278
"89",400,100,0.4,0.6,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,3.1044568169,1471,2507
"90",500,200,0.7,0.9,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-0.9154568169,0,318
"91",400,100,0.5,0.7,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-1.9084568169,633,1311
"92",500,100,0.9,1,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-2.5134568169,1266,1916
"93",500,200,0.6,0.7,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-3.9894568169,1430,3392
"94",300,100,0.8,1,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,1.8044568169,458,1207
"95",500,100,0.5,0.8,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-5.3894568169,1908,4792
"96",500,100,0.4,0.8,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,4.3434568169,1276,3746
"97",500,100,0.4,0.6,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-8.3154568169,2994,7718
"98",500,200,0.9,1,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,3.8964568169,1271,3299
"99",500,100,0.7,0.9,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-4.1454568169,1773,3548
"100",400,100,0.5,0.9,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-1.0874568169,178,490
"101",400,100,0.5,0.8,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,4.5814568169,1772,3984
"102",300,100,0.8,0.9,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,3.0934568169,1497,2496
"103",300,100,0.7,1,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-4.2324568169,2001,3635
"104",500,200,0.8,0.9,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,1.6704568169,638,1073
"105",400,100,0.5,1,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-2.1094568169,809,1512
"106",300,100,0.6,0.7,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-1.6104568169,365,1013
"107",400,200,0.9,1,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-3.9714568169,1074,3374
"108",500,200,0.6,0.9,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,3.8274568169,2208,3230
"109",300,100,0.7,0.8,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-5.7774568169,2137,5180
"110",500,300,0.8,1,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-2.0714568169,694,1474
